,DBUID,dbpop,A_21,A_20,area,lim,lico,vismin,pop,immig,no_car_rate
1957,35200869004,62.0,14.089712785978476,14.132234825442794,5296.091240125985,14.962292609351433,16.832579185520363,36.470588235294116,663.0,6.078431372549019,35.90287543636152
1958,35200869005,44.0,14.06315748309888,14.086008297820513,10458.751604570502,10.6184012066365,11.945701357466064,25.88235294117647,663.0,4.313725490196078,25.479459987095268
1959,35200869006,258.0,12.882145030879444,12.894223656075885,16974.55391186853,62.262443438914026,70.04524886877829,151.76470588235293,663.0,25.294117647058822,149.40228810614954
1960,35200869007,15.0,12.180021398086291,12.180021398086291,1473.6762043259723,3.6199095022624435,4.072398190045249,8.823529411764707,663.0,1.4705882352941178,8.686179541055205
1961,35200870003,31.0,17.60721225580071,18.69531026419842,5237.594715270323,5.0105988341282455,5.174880763116057,8.953365129835719,1887.0,2.0535241123476418,15.283019423313872
1962,35200870005,173.0,19.25602774378376,19.405627080771524,5513.785833837986,27.962374138844726,28.879173290937995,49.9655537890832,1887.0,11.459989401165872,85.28910839462257
1963,35200870008,74.0,17.693441494631703,18.265220856429597,6497.191300538882,11.96078431372549,12.352941176470589,21.372549019607842,1887.0,4.901960784313726,36.482046365329886
1964,35200870009,0.0,20.434902193099973,20.2278223055614,17935.030798017844,0.0,0.0,0.0,1887.0,0.0,0.0
1965,35200870010,199.0,16.258134221453854,16.377428533578698,18438.626412148515,32.16481187069422,33.21939586645469,57.47482776894542,1887.0,13.182299947005829,98.10712468514389
1966,35200870011,245.0,19.93657689367182,20.05082547720284,12163.913539128644,39.59989401165872,40.89825119236884,70.76046634870164,1887.0,16.229464758876524,120.78515350683544
1967,35200870012,220.0,17.976008099422838,18.007187790108215,31948.655974458165,35.55908850026497,36.72496025437202,63.54001059883413,1887.0,14.573396926338102,108.46013784287264
1968,35200870013,17.0,17.689999999999998,18.425,1585.6619541019381,2.7477477477477477,2.8378378378378377,4.90990990990991,1887.0,1.1261261261261262,8.381010651494703
1969,35200870014,19.0,17.562434704877564,18.1758866406601,4369.439762074816,3.0710121886592474,3.1717011128775834,5.487546369899311,1887.0,1.2586115527292,9.367011904611728
1970,35200870015,0.0,17.23426722994469,18.92963096392485,1245.6512191801526,0.0,0.0,0.0,1887.0,0.0,0.0
1971,35200870016,353.0,17.960463406181038,18.907363834435348,12135.594981638738,57.05617382087971,58.9268680445151,101.9528351881293,1887.0,23.3836777954425,174.02922117515473
1972,35200870020,556.0,18.931997479916795,19.255821917648177,14574.864860900063,89.86751457339693,92.81399046104929,160.58293587705353,1887.0,36.830948595654476,274.10834836653265
1973,35200870021,0.0,21.067434236938574,19.845207177609122,16052.419022318485,0.0,0.0,0.0,1887.0,0.0,0.0
1974,35200876001,207.0,19.94693919082571,19.967018000309153,18736.77937584166,54.59862385321101,42.72935779816514,45.10321100917431,436.0,4.747706422018348,79.87978916091211
1975,35200876002,32.0,22.1281993010578,22.558032496196695,9443.826560705029,8.440366972477063,6.605504587155964,6.972477064220183,436.0,0.7339449541284404,12.34856644033424
1976,35200876004,57.0,22.936071459677862,23.21683247856039,6600.829371675433,15.034403669724771,11.76605504587156,12.419724770642201,436.0,1.3073394495412844,21.995883971845366
1977,35200876005,0.0,24.93622439910404,24.53304489697704,13393.246143337765,0.0,0.0,0.0,436.0,0.0,0.0
1978,35200876006,33.0,23.442955264753852,23.313522708172854,6396.222110664041,8.704128440366972,6.8119266055045875,7.190366972477064,436.0,0.7568807339449541,12.734459141594686
1979,35200876007,55.0,23.24186174770373,23.426882605529713,2126.2858000531596,14.506880733944953,11.353211009174313,11.98394495412844,436.0,1.261467889908257,21.224098569324475
1980,35200876008,52.0,21.97993479716409,22.93786425668082,4095.961809319777,13.715596330275229,10.73394495412844,11.330275229357799,436.0,1.1926605504587156,20.06642046554314
1981,35200877001,196.0,17.958212984720976,18.051028890308128,23470.783499714114,23.557692307692307,28.26923076923077,68.3173076923077,416.0,4.711538461538462,75.63496944704723
1982,35200877002,220.0,19.211537486287988,19.32582425711951,20100.96783412761,26.442307692307693,31.73076923076923,76.6826923076923,416.0,5.288461538461538,84.8963942772979
1983,35200878003,652.0,20.37040485343429,21.13156620821676,13589.54209304287,175.0,155.0,195.0,652.0,70.0,251.60204122181014
1984,35200879001,75.0,15.953950031468747,15.750925806391137,3836.7604494824245,10.416666666666666,13.621794871794872,32.05128205128205,468.0,4.8076923076923075,16.75234603353675
1985,35200879002,32.0,16.850915034448672,16.644306874283448,4036.589102077504,4.444444444444445,5.811965811965812,13.675213675213675,468.0,2.051282051282051,7.14766764097568
1986,35200879003,164.0,17.03338380171276,17.10588924549954,14917.2377840972,22.77777777777778,29.786324786324787,70.08547008547009,468.0,10.512820512820513,36.63179666000036
1987,35200879004,102.0,17.87486759376682,17.78836367255013,8742.634070960965,14.166666666666666,18.525641025641026,43.58974358974359,468.0,6.538461538461538,22.78319060560998
1988,35200879005,95.0,18.716702490889336,19.14861884419511,8942.707232407634,13.194444444444445,17.254273504273506,40.598290598290596,468.0,6.089743589743589,21.21963830914655
1989,35200880001,505.0,16.13590932731485,15.682896441941459,34402.37935067702,60.0,55.0,165.0,505.0,15.0,112.79912995914745
1990,35200881001,39.0,10.191797544383071,9.864638566538227,1919.5450056224731,8.602941176470589,10.514705882352942,14.816176470588236,408.0,2.389705882352941,8.71121993743911
1991,35200881002,109.0,12.168497486027109,11.521877881684373,8787.459187535685,24.044117647058822,29.387254901960784,41.40931372549019,408.0,6.678921568627451,24.34674290207341
1992,35200881003,99.0,11.591691811271918,11.160482909211352,6406.094528149168,21.83823529411765,26.691176470588236,37.61029411764706,408.0,6.0661764705882355,22.11309676426851
1993,35200881004,73.0,14.017562989720572,13.643298002779787,8142.185142370218,16.102941176470587,19.681372549019606,27.732843137254903,408.0,4.473039215686274,16.30561680597577
1994,35200881005,88.0,14.691074987852195,14.155938557345834,8465.022245236029,19.41176470588235,23.725490196078432,33.431372549019606,408.0,5.392156862745098,19.65608601268312
1995,35200882001,353.0,12.537827941322158,12.287713251801025,23465.204276142576,40.0,55.0,65.0,353.0,20.0,78.84770866451296
1996,35200883001,450.0,11.166638394720382,11.057646797159508,40706.87225256393,80.0,115.0,245.0,450.0,45.0,100.5140762012205
1997,35200884001,519.0,9.670137809675776,9.650144789161013,41497.838242354694,85.0,115.0,255.0,519.0,50.0,115.9262345520743
1998,35200885001,523.0,8.786390988205298,8.786390988205298,40955.664380760885,110.0,130.0,295.0,523.0,95.0,116.81969300719626
1999,35200886002,84.0,12.147080173015754,12.147080173015754,9011.504869770139,20.528401585204755,25.521796565389696,48.82430647291942,757.0,11.096433289299869,18.76262755756116
